,name,designation,titles,research,background,keywords,links,area
231,"Rodriguez, Alejandro David",Faculty Fellow,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/alejandro_rodriguez.php,
232,"Rose, John R. ",Professor,Faculty,"I am currently a member of IEEE . I am the author of over 50 technical papers in bioinformatics , machine intelligence , and computational science . My research interests are in the areas of bioinformatics , normative reasoning and planning , DAI and multiagent systems , and computational chemistry . I have conducted research funded by NSF , NIH , NASA , DOD ONR , Alexander von Humboldt Foundation , BMFT German NSF equivalent , as well as the South Carolina Commission on Higher Education . I have been a NASA Institute for Advanced Concepts NIAC Fellow . I was formerly the Director of the SC INBRE Bioinformatics Core . A major new focus of my research group is de novo peptide sequencing . We have recently received NSF funding to support this effort .","
Ph.D., Computer Science, SUNY at Stony Brook (1991)
M.S., Computer Science, SUNY at Stony Brook (1989)
B.Mus., Music, Immaculate Heart College (1980)
","[""bioinformatics"",""science"",""nsf"",""research""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/johnrose.php,"I am the author of over 50 technical papers in bioinformatics , machine intelligence , and computational science .
I have conducted research funded by NSF , NIH , NASA , DOD ONR , Alexander von Humboldt Foundation , BMFT German NSF equivalent , as well as the South Carolina Commission on Higher Education ."
235,"Sabalowsky, Andrew", Instructor,Faculty,"Dr . Sabalowsky s prior research expertise are in anaerobic processes , specifically as they relate to bioremediation of hazardous xenobiotic molecules and biofuel production , such has methane and hydrogen production , microbial fuel cells , and fermentable products . More recently , his interests are in renewable energy technology centered on fluid flow , such as wave attenuation , micro wind turbines , and solar chimneys .",,"[""production"",""flow"",""bioremediation"",""technology"",""interests"",""relate"",""micro""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/andrewsabalowsky.php,
236,"Sadati, Monirosadat (Sanaz)",Assistant Professor,Faculty,"Assistant Professor , University of South Carolina , January 2019 Postdoctoral Associate , The University of Chicago , 2014 2018 Postdoctoral Associate , Harvard , 2012 2014 PhD , Materials Science , ETH Zurich , 2012 BS and MS , Polymer Engineering , Amirkabir University of Technology , 2003The Sadati lab will pursue a bottom up approach to study the structure , dynamics , and self assembly of soft materials , with an emphasis on anisotropic components capable of leading to new , tunable macroscopic properties . Through systematic studies of self assembly , topological defects , and real time structure and rheology , we will engineer responsive materials with unique architectural features designed for a broad range of applications including tissue engineering , actuation , drug delivery , controlled cargo transport , and biosensing . A common feature among natural microswimmers such a bacteria is the ability to convert energy to motion and regulate their self propulsion in response to external stimuli . Inspired by the biomechanics of nature , artificial active micromotors are being developed that can transduce the local energy to directed motion and to propulsion . These artificial micromotors have been envisioned for a broad range of applications such as drug loading , controlled release in the vicinity of cells , and water remediation to name a few . In many of these applications , these micromotors have to move in a complex environment . We will explore the micro rheology of microswimmers in complex environments to design autonomous micromachines that can navigate efficiently in realistic condition of operations .",,"[""applications"",""micromotors"",""university"",""materials"",""self""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/sadati_sanaz.php,"Through systematic studies of self assembly , topological defects , and real time structure and rheology , we will engineer responsive materials with unique architectural features designed for a broad range of applications including tissue engineering , actuation , drug delivery , controlled cargo transport , and biosensing ."
237,"Sahin, Alphan ",Assistant Professor,Faculty,"Assistant Professor Sahin s research interests include the signal processing methods emphasizing on the physical layer of wireless communication systems , intelligent air interfaces , waveforms , sequences , machine learning , radio access technologies , broadband mobile networks , and wireless communication standards , e . g . , IEEE 802 . 11 Wi Fi and 3GPP 5G NR .","Assistant Professor Sahin's research interests include the signal processing methods emphasizing on the physical layer of wireless communication systems, intelligent air-interfaces,
                                    waveforms, sequences, machine learning, radio access technologies, broadband mobile
                                    networks, and wireless communication standards, e.g., IEEE 802.11 Wi-Fi and 3GPP 5G
                                    NR.","[""wireless"",""communication"",""sequences"",""networks"",""systems""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/alphansahin.php,"Assistant Professor Sahin s research interests include the signal processing methods emphasizing on the physical layer of wireless communication systems , intelligent air interfaces , waveforms , sequences , machine learning , radio access technologies , broadband mobile networks , and wireless communication standards , e ."
238,"Santi, Enrico","Professor, Electrical Engineering",Faculty,"SwearingenRoom 3A36301 Main StreetColumbia , SC 29208Enrico Santi received the B . S . degree from the University of Padua , Italy , the M . S . and Ph . D . degrees from Caltech California Institute of Technology in Pasadena , California , all in Electrical Engineering . He has over 25 years of experience in research and development in power electronics , both in industry and in academia . He worked in industry for five years as a Senior Design Engineer , involved in the design of various power supplies for telecommunications and computers , and of electronic ballasts for avionics . He has over 200 publications , three books and four patents . He is currently Transaction Review Chair of the Power Electronics Devices and Components Committee of the IEEE Industry Applications Society . He has been Associate Editor of the IEEE Transactions on Power Electronics and the IEEE Transaction on Industry Applications . His area of research is power electronics . It is a growing research area with many applications from renewable energy to transportation to the power grid . In particular , penetration of power electronics is leading to revolutionary changes in the nature and characteristics of the utility power grid , providing significant research opportunities . His research interests are in control of power electronics power distribution systems , system identification of power electronics systems , physics based modeling of power semiconductor devices , and modeling and simulation .","Enrico Santi received the B.S. degree from the University of Padua, Italy, the M.S.
                                 and Ph.D. degrees from Caltech (California Institute of Technology) in Pasadena, California,
                                 all in Electrical Engineering. He has over 25 years of experience in research and
                                 development in power electronics, both in industry and in academia. He worked in industry
                                 for five years as a Senior Design Engineer, involved in the design of various power
                                 supplies for telecommunications and computers, and of electronic ballasts for avionics.
                                 He has over 200 publications, three books and four patents. He is currently Transaction
                                 Review Chair of the Power Electronics Devices and Components Committee of the IEEE
                                 Industry Applications Society. He has been Associate Editor of the IEEE Transactions
                                 on Power Electronics and the IEEE Transaction on Industry Applications. His area of
                                 research is power electronics. It is a growing research area with many applications
                                 from renewable energy to transportation to the power grid. In particular, penetration
                                 of power electronics is leading to revolutionary changes in the nature and characteristics
                                 of the utility power grid, providing significant research opportunities. His research
                                 interests are in control of power electronics power distribution systems, system identification
                                 of power electronics systems, physics-based modeling of power semiconductor devices,
                                 and modeling and simulation.","[""power"",""electronics"",""research"",""industry""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/santienrico.php,"He has over 25 years of experience in research and development in power electronics , both in industry and in academia .
He worked in industry for five years as a Senior Design Engineer , involved in the design of various power supplies for telecommunications and computers , and of electronic ballasts for avionics .
He is currently Transaction Review Chair of the Power Electronics Devices and Components Committee of the IEEE Industry Applications Society .
It is a growing research area with many applications from renewable energy to transportation to the power grid .
In particular , penetration of power electronics is leading to revolutionary changes in the nature and characteristics of the utility power grid , providing significant research opportunities .
His research interests are in control of power electronics power distribution systems , system identification of power electronics systems , physics based modeling of power semiconductor devices , and modeling and simulation .Enrico Santi received the B.S. degree from the University of Padua, Italy, the M.S.
on Power Electronics and the IEEE Transaction on Industry Applications."
239,"Sasanakul, Inthuorn",Associate Professor,Faculty,"Dr . Sasanakul has expertise in geotechnical centrifuge modeling , specializing in soil dynamics , soil characterization , instrumentations , and behavior of soils , and soil structure systems that are subjected to earthquakes and other natural hazards . Her research includes work on advance soil testing using resonant column and torsional shear devices , centrifuge modeling of mine tailings , New Orleans levees and T walls system , underground tunnel , soil model characterization using bender element , CPT , and T bar , and contaminant migration through soil cement barriers . Dr . Sasanakul was a recipient of ASTM Hogentogler Award of 2012 . She also received prestigious awards from the U . S . Army Corp . of Engineer including the Commander s Award of Public Service with accompanying medal from the Chief U . S . Army Corps of Engineers . This award is in appreciation for the support of New Orleans Recovery through efforts of the Evaluation Task Force of the Hurricane Katrina Interagency .","Dr. Sasanakul has expertise in geotechnical centrifuge modeling, specializing in soil
                                 dynamics, soil characterization, instrumentations, and behavior of soils, and soil-structure
                                 systems that are subjected to earthquakes and other natural hazards. Her research
                                 includes work on advance soil testing using resonant column and torsional shear devices,
                                 centrifuge modeling of mine tailings, New Orleans levees and T-walls system, underground
                                 tunnel, soil model characterization using bender element, CPT, and T bar, and contaminant
                                 migration through soil cement barriers.   Dr. Sasanakul was a recipient of “ASTM Hogentogler
                                 Award of 2012”. She also received prestigious awards from the U.S. Army Corp. of Engineer
                                 including the “Commander’s Award of Public Service” with accompanying medal from the
                                 Chief U.S. Army Corps of Engineers. This award is in appreciation for the support
                                 of New Orleans Recovery through efforts of the Evaluation Task Force of the Hurricane
                                 Katrina Interagency.","[""soil"",""award"",""centrifuge"",""using"",""orleans""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/sasanakul_inthuorn.php,"Sasanakul has expertise in geotechnical centrifuge modeling , specializing in soil dynamics , soil characterization , instrumentations , and behavior of soils , and soil structure systems that are subjected to earthquakes and other natural hazards .
Her research includes work on advance soil testing using resonant column and torsional shear devices , centrifuge modeling of mine tailings , New Orleans levees and T walls system , underground tunnel , soil model characterization using bender element , CPT , and T bar , and contaminant migration through soil cement barriers .
of Engineer including the Commander s Award of Public Service with accompanying medal from the Chief U .
This award is in appreciation for the support of New Orleans Recovery through efforts of the Evaluation Task Force of the Hurricane Katrina Interagency .Dr. Sasanakul has expertise in geotechnical centrifuge modeling, specializing in soil"
243,"Shazly, Tarek ","Graduate Director, Biomedical Engineering",Faculty,"Research Area 1 Interactions between implanted polymeric materials and soft tissuesMy early work was focused on understanding soft tissue material interactions for the purpose of optimizing surgical sealant performance . The publications that emerged from this line of inquiry impacted the field in two distinct ways . First , we provided the initial demonstration that adhesion is a tissue specific phenomenon that can be exploited in advanced material design . Second , these and related publications established novel design strategies to enhance adhesion strength without compromising material biocompatibility the power in these strategies is that they can be generalized across material systems and surgical sealant applications . Research Area 2 Characterization , assessment , and modeling of endovascular technologiesEndovascular technologies such as drug eluting stents , erodible scaffolds , and drug coated balloons have steadily evolved over the past 40 years . Multidisciplinary research approaches are needed to design , optimize , and evaluate emergent devices , typically requiring consideration of hemodynamics , drug pharmacokinetics , material mechanics , and device degradation erosion kinetics . To accommodate this inherent complexity in the face of rapid device development , regulatory agencies have begun to expect and nearly require predictive computational models which clearly explain the mechanism of action and potential risk of new technologies . To meet this field demand , our work has been focused on the development of finite element based computational models and design deployment strategies to facilitate the continued advancement of endovascular technologies and their safe introduction into clinical practice . Research Area 3 Experimental and theoretical biomechanical studies on native and engineered blood vesselsThe identification of constitutive mechanical models of vascular tissue is essential for quantifying the local environment of mechanosensitive vascular cells in normal and disease states , understanding mechanically mediated vascular tissue remodeling , and providing a basis for the engineering of vascular tissue substitutes . Publications in these areas have been impactful in terms of providing data and models for previously understudied yet critical regions of the circulatory system , applying continuum mechanical principles to explain intra vessel variations in geometry , properties , and composition , and introducing tissue engineered constructs which exhibit enhanced matrix elaboration and thus potential as vascular substitutes .","Research Area 1: Interactions between implanted polymeric materials and soft tissuesMy early work was focused on understanding soft tissue-material interactions for the
                                 purpose of optimizing surgical sealant performance. The publications that emerged
                                 from this line of inquiry impacted the field in two distinct ways. First, we provided
                                 the initial demonstration that adhesion is a tissue-specific phenomenon that can be
                                 exploited in advanced material design. Second, these and related publications established
                                 novel design strategies to enhance adhesion strength without compromising material
                                 biocompatibility – the power in these strategies is that they can be generalized across
                                 material systems and surgical sealant applications.Research Area 2: Characterization, assessment, and modeling of endovascular technologiesEndovascular technologies such as drug-eluting stents, erodible scaffolds, and drug-coated
                                 balloons have steadily evolved over the past 40 years. Multidisciplinary research
                                 approaches are needed to design, optimize, and evaluate emergent devices, typically
                                 requiring consideration of hemodynamics, drug pharmacokinetics, material mechanics,
                                 and device degradation/erosion kinetics. To accommodate this inherent complexity in
                                 the face of rapid device development, regulatory agencies have begun to expect and
                                 nearly require predictive computational models which clearly explain the mechanism-of-action
                                 and potential risk of new technologies. To meet this field demand, our work has been
                                 focused on the development of finite element-based computational models and design/deployment
                                 strategies to facilitate the continued advancement of endovascular technologies and
                                 their safe introduction into clinical practice.  ","[""material"",""tissue"",""strategies"",""design"",""models""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/shazly_tarek.php,"Second , these and related publications established novel design strategies to enhance adhesion strength without compromising material biocompatibility the power in these strategies is that they can be generalized across material systems and surgical sealant applications .
Research Area 2 Characterization , assessment , and modeling of endovascular technologiesEndovascular technologies such as drug eluting stents , erodible scaffolds , and drug coated balloons have steadily evolved over the past 40 years .
Multidisciplinary research approaches are needed to design , optimize , and evaluate emergent devices , typically requiring consideration of hemodynamics , drug pharmacokinetics , material mechanics , and device degradation erosion kinetics .
To accommodate this inherent complexity in the face of rapid device development , regulatory agencies have begun to expect and nearly require predictive computational models which clearly explain the mechanism of action and potential risk of new technologies .
To meet this field demand , our work has been focused on the development of finite element based computational models and design deployment strategies to facilitate the continued advancement of endovascular technologies and their safe introduction into clinical practice .
material systems and surgical sealant applications.Research Area 2: Characterization, assessment, and modeling of endovascular technologiesEndovascular technologies such as drug-eluting stents, erodible scaffolds, and drug-coated"
244,"Shepherd, Jeremiah","Instructor, Computer Science & Engineering",Faculty,JJ Shepherd teaches CSCE 145 and 146 courses .,,"[""teaches"",""courses"",""shepherd"",""csce""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/jeremiahshepherd.php,JJ Shepherd teaches CSCE 145 and 146 courses .
245,"Sheth, Amit","Founding Director, Artificial Intelligence Institute and Professor, Computer Science & Engineering",Faculty,"Professor Sheth is an educator , researcher , and entrepreneur . He is the founding director university wide AI Institute at the University of South Carolina . He is a Fellow of the IEEE , AAAI , AAAS and ACM , elected for his pioneering and enduring contributions to information integration , distributed workflow processes , semantics , knowledge enhanced computing , etc . He has co founded four companies , three of them by licensing his university research outcomes , including the first Semantic Search company in 1999 that pioneered technology similar to what is found today in Google Semantic Search and Knowledge Graph . He is particularly proud of the success of his 45 Ph . D . advisees and postdocs in academia , industry research , and entrepreneurs . He received his B . E . Hons from BITS Pilani , India , and MS and PhD from the Ohio State University , USA . Professor Sheth s current interests include Artificial Intelligence esp . knowledge graphs , NLP , deep learning , knowledge enhanced learning , conversational AI esp chatbots for health and education , Semantic Web , Physical IoT Cyber Social Clinical Big Data , Augmented Personalized Health , AI and Big Data applications in health and life sciences , social good , disaster management , etc . .","Professor Sheth is an educator, researcher, and entrepreneur. He is the founding director
                                 university-wide AI Institute at the University of South Carolina. He is a Fellow of
                                 the IEEE, AAAI, AAAS and ACM, elected for his pioneering and enduring contributions
                                 to information integration,  distributed workflow processes, semantics, knowledge-enhanced
                                 computing, etc. He has (co-)founded four companies, three of them by licensing his
                                 university research outcomes, including the first Semantic Search company in 1999
                                 that pioneered technology similar to what is found today in Google Semantic Search
                                 and Knowledge Graph. He is particularly proud of the success of his 45 Ph.D. advisees
                                 and postdocs in academia, industry research, and entrepreneurs.  He received his B.E.
                                 (Hons) from BITS-Pilani, India, and MS and PhD from the Ohio State University, USA.
                                  ","[""university"",""knowledge"",""research"",""semantic""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/amitsheth.php,"He is the founding director university wide AI Institute at the University of South Carolina .
He is a Fellow of the IEEE , AAAI , AAAS and ACM , elected for his pioneering and enduring contributions to information integration , distributed workflow processes , semantics , knowledge enhanced computing , etc .
He has co founded four companies , three of them by licensing his university research outcomes , including the first Semantic Search company in 1999 that pioneered technology similar to what is found today in Google Semantic Search and Knowledge Graph .
to information integration,  distributed workflow processes, semantics, knowledge-enhanced
university research outcomes, including the first Semantic Search company in 1999"
246,"Shimpalee, Sirivatch","Research Professor, Chemical Engineering",Faculty,"Horizon 1Room 439541 Main StreetColumbia , SC 29208Ph . D . , University of South Carolina , Columbia , 2001M . S . , Bradley University , 1998B . S . , Chiang Mai University , Thailand , 1992Dr . Shimpalee s current research is in the area of renewable energy including fuel cells , energy storage , high temperature thermal system , and bioenergy . His expertise is to use multi scale and multi dimensional modeling combine with electrochemistry to understand the physics inside their complex systems particularly in the transport phenomena .",,"[""university"",""energy"",""multi""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/shimpalee_sirivatch.php,"Shimpalee s current research is in the area of renewable energy including fuel cells , energy storage , high temperature thermal system , and bioenergy ."
247,"Simin, Grigory","Undergraduate Director, Electrical Engineering",Faculty,"SwearingenRoom 3A16301 Main StreetColumbia , SC 29208",,"[""swearingenroom"",""main"",""streetcolumbia""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/simingrigory.php,"SwearingenRoom 3A16301 Main StreetColumbia , SC 29208"
248,"Smoak, Wilson","Capstone Instructor, Electrical Engineering",Faculty,"Wilson Smoak is the instructor and coordinator for our Capstone Design Courses , ELCT 403 404 in Electrical Engineering Department , following a successful career in design of digital electronics , most recently for Intel .",,"[""design"",""elct"",""coordinator"",""electronics"",""instructor"",""successful""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/smoakwilson.php,"Wilson Smoak is the instructor and coordinator for our Capstone Design Courses , ELCT 403 404 in Electrical Engineering Department , following a successful career in design of digital electronics , most recently for Intel ."
250,"Sockalingam, Subramani ","Associate Professor, Mechanical Engineering",Faculty,"Dr . Sockalingam s research interests are in the development of novel material systems with spatially heterogeneous properties at multiple length scales and developing fundamental understanding of mechanisms during composite material manufacturing and deformation over a range of strain rates . The impacts of this research reside in the potential to develop new energy efficient and environmentally friendly composites with unprecedented properties stronger , tougher , lighter for aerospace and defense applications . His expertise are in multiscale finite element modeling and analysis , composite material characterization , constitutive model development , ballistic impact , design and development of body and vehicle armor , automotive crashworthiness and engineering consulting ."," Dr. Sockalingam’s research interests are in the development of novel material systems
                                 with spatially heterogeneous properties at multiple length scales and developing fundamental
                                 understanding of mechanisms during composite material manufacturing and deformation
                                 over a range of strain rates. The impacts of this research reside in the potential
                                 to develop new energy-efficient and environmentally-friendly composites with unprecedented
                                 properties (stronger, tougher, lighter) for aerospace and defense applications. His
                                 expertise are in multiscale finite element modeling and analysis, composite material
                                 characterization, constitutive model development, ballistic impact, design and development
                                 of body and vehicle armor, automotive crashworthiness and engineering consulting.","[""development"",""material"",""composite"",""research""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/subramani_sockalingam.php,"Sockalingam s research interests are in the development of novel material systems with spatially heterogeneous properties at multiple length scales and developing fundamental understanding of mechanisms during composite material manufacturing and deformation over a range of strain rates .
His expertise are in multiscale finite element modeling and analysis , composite material characterization , constitutive model development , ballistic impact , design and development of body and vehicle armor , automotive crashworthiness and engineering consulting ."
251,"Spinale, Frank G.","Professor, Cell Biology & Anatomy",Faculty,"Francis G . Spinale , MD , PhD , an internationally renowned cardiovascular scientist , has directed a translational research effort in the thematic area of cardiovascular remodeling with a particular focus upon heart failure , the main cause of death and disability in South Carolina , for over the past two decades . The mechanistic , translational , and clinical studies he has been working on will advance our understanding and potential treatment for major causes of heart failure in patients . He is also an entrepreneur with patents and a NIH Small Business Technology Transfer grant to develop a microdialysis microfluidics delivery system for cardiac surgery . Additionally , Dr . Spinale serves on the ditorial board of seven prestigious scientific journals and is a consultant to various pharmaceutical companies and biotechnology companies . To his credit , he also has over 400 peer reviewed publications in leading cardiovascular journals and is a fellow of several professional societies , including the American Heart Association and the American College of Cardiology . He has been invited to present his research both nationally and internationally at major scientific meetings , universities , and congresses conferences . Dr . Spinale is the director of the Cardiovascular Translational Research Center , and he has pioneered various projects for cardiac research while working to collaborate with other departments and faculty between the SOM and VA .",,"[""cardiovascular"",""research"",""translational"",""heart"",""spinale""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/spinalefrank.php,"Spinale , MD , PhD , an internationally renowned cardiovascular scientist , has directed a translational research effort in the thematic area of cardiovascular remodeling with a particular focus upon heart failure , the main cause of death and disability in South Carolina , for over the past two decades ."
252,"Srivastava, Biplav",Professor,Faculty,"Biplav Srivastava is a professor of computer science at the AI Institute at the University of South Carolina . Previously , he was at IBM for nearly two decades in the roles of a Research Scientist , Distinguished Data Scientist and Master Inventor . Biplav is an ACM Distinguished Scientist , AAAI Senior Member , IEEE Senior Member and AAAS Leshner Fellow for Public Engagement on AI 2020 2021 . Dr . Srivastava is interested in enabling people to make rational decisions despite real world complexities of poor data , changing goals and limited resources by augmenting their cognitive limitations with technology . He is exploring new approaches for goal oriented , ethical , human machine collaboration via natural interfaces using domain and user models , learning , and planning . He is a co inventor of over 50 patents and co author of over 150 peer reviewed papers .","Biplav Srivastava is a professor of computer science at the AI Institute at the University
                                 of South Carolina. Previously, he was at IBM for nearly two decades in the roles of
                                 a Research Scientist, Distinguished Data Scientist and Master Inventor. Biplav is
                                 an ACM Distinguished Scientist, AAAI Senior Member,  IEEE Senior Member and AAAS Leshner
                                 Fellow for Public Engagement on AI (2020-2021). Dr. Srivastava is interested in enabling people to make rational decisions despite real world complexities
                                 of poor data, changing goals and limited resources by augmenting their cognitive limitations
                                 with technology. He is exploring new approaches for goal-oriented, ethical, human-machine
                                 collaboration via natural interfaces using domain and user models, learning, and planning.
                                 He is a co-inventor of over 50 patents and co-author of over 150 peer-reviewed papers.","[""scientist"",""data"",""member"",""srivastava"",""distinguished""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/srivastava.php,"Biplav is an ACM Distinguished Scientist , AAAI Senior Member , IEEE Senior Member and AAAS Leshner Fellow for Public Engagement on AI 2020 2021 .
Srivastava is interested in enabling people to make rational decisions despite real world complexities of poor data , changing goals and limited resources by augmenting their cognitive limitations with technology .
He is a co inventor of over 50 patents and co author of over 150 peer reviewed papers .Biplav Srivastava is a professor of computer science at the AI Institute at the University"
253,"Stanford, Thomas G.","Professor Emeritus, Chemical Engineering",Faculty,"Swearingen Engineering CenterRoom 2C05301 Main StreetColumbia , SC 29208Ph . D . , University Of Michigan , 1977 . M . S . Math , University of Michigan , 1969",,"[""michigan"",""university"",""centerroom"",""swearingen"",""math""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/stanfordtom.php,
257,"Sur, Sanjib ","Assistant Professor, Computer Science and Engineering",Faculty,"Professor Sur s research interests are in the areas of Wireless Systems and Architectures , Millimeter Wave Communications and Networks , Internet of Things Connectivity and Sensing Systems .","
Ph.D., University of Wisconsin-Madison (2018)
B.E., Indian Institute of Engineering Science and Technology (2011)
","[""systems"",""indian"",""professor"",""wireless"",""areas"",""networks"",""architectures""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/sur.php,
258,"Sutton, Michael",Distinguished Professor,Faculty,"Dr . Sutton s research and interests include coherent and incoherent optics applications , experimental mechanics , digital image processing , Computer Vision , applications of integral methods and experimental mechanics , boundary valve problems , plastic fracture mechanics , finite elements modeling of cracked bodies .","Dr. Sutton's research and interests include coherent and incoherent optics applications,
                                    experimental mechanics, digital image processing, Computer Vision, applications of
                                    integral methods and experimental mechanics, boundary valve problems, plastic fracture
                                    mechanics, finite elements modeling of cracked bodies.","[""mechanics"",""experimental"",""applications""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/sutton_michael.php,
260,"Taheri Qazvini, Nader ",Assistant Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/nader_taheri-qazvini.php,
261,"Tan, Wenbin",Associate Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/tan_wenbin.php,
262,"Tang, Chuanbing",Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/tang_chuaunbing.php,
263,"Tatting, Brian",Research Assistant Professor,Faculty,"Ph . D . , Engineering Science Mechanics , Virginia Polytechnic Institute State University , Blacksburg VA , October 1998 . B . S . , Engineering Mechanics , University of Illinois at Urbana Champaign , Champaign IL , U . S . A . , May 1989 . Dr . Tatting joined the research team at the McNAIR Center in 2016 to perform research and mentor graduate students , focusing on composite design and manufacture . His main topics included variable stiffness designs for cylinders , novel 3D optimization techniques for composites , and physics based modeling of automated fiber placement AFP , funded by The Boeing Company . Further work under NASA s ACC program investigated effects of defects formed during the AFP process on part reliability . Previously , Dr . Tatting consulted for the aeronautics aerospace industry concerning composite design of structures , specifically using AFP , for clients including Lockheed Martin , Sikorsky , NASA Langley Research Center , and Ingersoll Machine Tools . Projects ranged from design and analysis of composite parts for airplanes to software development for composite design .","Dr. Tatting joined the research team at the McNAIR Center in 2016 to perform research
                                    and mentor graduate students, focusing on composite design and manufacture. His main
                                    topics included variable stiffness designs for cylinders, novel 3D optimization techniques
                                    for composites, and physics-based modeling of automated fiber placement (AFP), funded
                                    by The Boeing Company. Further work under NASA's ACC program investigated effects
                                    of defects formed during the AFP process on part reliability. ","[""research"",""afp"",""design"",""composite""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/tatting_brian.php,"Tatting joined the research team at the McNAIR Center in 2016 to perform research and mentor graduate students , focusing on composite design and manufacture .
His main topics included variable stiffness designs for cylinders , novel 3D optimization techniques for composites , and physics based modeling of automated fiber placement AFP , funded by The Boeing Company .
Further work under NASA s ACC program investigated effects of defects formed during the AFP process on part reliability ."
264,"Thatcher, Matt E. ","Professor, Computer Science & Engineering",Faculty,"My research examines the strategic and economic impacts of information technology IT with a focus on four themes IT value , software patent policy design , IT offshoring , and the social costs of information privacy .","
Ph.D., Information Systems, The Wharton School, University of Pennsylvania (1998)
M.A., Information Systems, The Wharton School, University of Pennsylvania (1996)
B.S., Decision Sciences/Finance, The Wharton School, University of Pennsylvania (1992)
","[""information"",""wharton"",""school"",""university"",""pennsylvania""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/mattthatcher.php,
266,"Tong, Yan",Professor,Faculty,Professor Tong s research interests focus on computer vision and pattern recognition especially on human computer interaction including but not limited to,"
Ph. D., Rensselaer Polytechnic Institute (2007)
M. S., University of Nevada, Reno (2004)
B. S., Zhejiang University (1997)
","[""university"",""computer"",""limited"",""vision"",""zhejiang"",""including""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/yantong.php,
267,"Tooren, Michel  van","Research Faculty, Mechanical Engineering",Faculty,"Dr . van Tooren s research interest include Design Automation , Knowledge Based Engineering , Alternative aircraft concepts , Composite aircraft fuselages , Aircraft Certification , Systems Engineering and Road vehicle aerodynamics .","Dr. van Tooren's research interest include Design Automation, Knowledge Based Engineering,
                                    Alternative aircraft concepts, Composite aircraft fuselages, Aircraft Certification,
                                    Systems Engineering and Road vehicle aerodynamics.","[""engineering"",""composite"",""automation"",""aircraft"",""certification"",""van""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/tooren_van.php,
268,"Tulenko, James","Adjunct Professor, Mechanical Engineering",Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/tulenko_james.php,
272,"Uline, Mark J.","Program Director, Biomedical Engineering",Faculty,"Swearingen Room 3C17 301 Main Street Columbia , SC 29208The Uline research group is working toward the fundamental understanding of how the complex interactions at interfaces couple together to give the rich phenomena observed in various chemical and biological systems . Currently , we are focused on molecular modeling of biological interfaces , in particular , phase transitions and binding in lipid bilayers and surfactant driven nematic ordering transitions in liquid crystal thin films . Other ongoing research interests include bubble and droplet nucleation theory , molecular dynamics simulations in the isothermal isobaric ensemble , and the effects of multivalent ions on the charge regulation in tethered polyelectrolytes . For Dr . Uline s publications please see Google Scholar Webpage",,"[""interfaces"",""transitions"",""research"",""molecular"",""biological"",""uline""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/uline.php,
